image,status,issues,duplicate_of,face_proportion,symmetry,report
Без имени-1.jpg,passed,,,широкое,выраженная асимметрия,Без имени-1_portrait.json
Без имени-10.jpg,warning,сильный наклон головы,,широкое,выраженная асимметрия,Без имени-10_portrait.json
Без имени-11.jpg,passed,,,широкое,выраженная асимметрия,Без имени-11_portrait.json
Без имени-12.jpg,warning,фотография размыта,,широкое,высокая симметрия,Без имени-12_portrait.json
Без имени-13.jpg,warning,фотография размыта,,широкое,высокая симметрия,Без имени-13_portrait.json
Без имени-14.jpg,warning,фотография размыта,,широкое,высокая симметрия,Без имени-14_portrait.json
Без имени-15.jpg,warning,фотография размыта,,широкое,высокая симметрия,Без имени-15_portrait.json
Без имени-16.jpg,warning,фотография размыта,,широкое,высокая симметрия,Без имени-16_portrait.json
Без имени-17.jpg,passed,,,широкое,умеренная симметрия,Без имени-17_portrait.json
Без имени-18.jpg,passed,,,широкое,умеренная симметрия,Без имени-18_portrait.json
Без имени-19.jpg,passed,,,широкое,умеренная симметрия,Без имени-19_portrait.json
Без имени-2.jpg,warning,фотография размыта,,широкое,выраженная асимметрия,Без имени-2_portrait.json
Без имени-20.jpg,passed,,,широкое,выраженная асимметрия,Без имени-20_portrait.json
Без имени-21.jpg,passed,,,широкое,выраженная асимметрия,Без имени-21_portrait.json
Без имени-22.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,Без имени-22_portrait.json
Без имени-23.jpg,passed,,,широкое,выраженная асимметрия,Без имени-23_portrait.json
Без имени-24.jpg,warning,неподходящая яркость,,широкое,высокая симметрия,Без имени-24_portrait.json
Без имени-25.jpg,warning,неподходящая яркость; низкий контраст,,широкое,выраженная асимметрия,Без имени-25_portrait.json
Без имени-26.jpg,warning,неподходящая яркость; низкий контраст,,широкое,выраженная асимметрия,Без имени-26_portrait.json
Без имени-27.jpg,warning,неподходящая яркость; низкое исходное разрешение фотографии,,широкое,выраженная асимметрия,Без имени-27_portrait.json
Без имени-3.jpg,warning,фотография размыта,,широкое,выраженная асимметрия,Без имени-3_portrait.json
Без имени-4.jpg,passed,,,широкое,выраженная асимметрия,Без имени-4_portrait.json
Без имени-5.jpg,passed,,,широкое,умеренная симметрия,Без имени-5_portrait.json
Без имени-6.jpg,passed,,,широкое,умеренная симметрия,Без имени-6_portrait.json
Без имени-7.jpg,warning,фотография размыта,,широкое,умеренная симметрия,Без имени-7_portrait.json
Без имени-8.jpg,passed,,,широкое,высокая симметрия,Без имени-8_portrait.json
Без имени-9.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,Без имени-9_portrait.json
