image,status,issues,duplicate_of,face_proportion,symmetry,report
frame000000.jpg,passed,,,широкое,высокая симметрия,frame000000_portrait.json
frame000024.jpg,passed,,,широкое,выраженная асимметрия,frame000024_portrait.json
frame000072.jpg,passed,,,широкое,умеренная симметрия,frame000072_portrait.json
frame000096.jpg,passed,,,широкое,умеренная симметрия,frame000096_portrait.json
frame000192.jpg,passed,,,широкое,выраженная асимметрия,frame000192_portrait.json
frame000216.jpg,passed,,,широкое,умеренная симметрия,frame000216_portrait.json
frame000384.jpg,passed,,,широкое,выраженная асимметрия,frame000384_portrait.json
frame000432.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame000432_portrait.json
frame000480.jpg,passed,,,широкое,высокая симметрия,frame000480_portrait.json
frame000600.jpg,passed,,,широкое,умеренная симметрия,frame000600_portrait.json
frame000768.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame000768_portrait.json
frame001176.jpg,passed,,,широкое,выраженная асимметрия,frame001176_portrait.json
frame001200.jpg,warning,лицо заметно повернуто; фотография размыта,,широкое,выраженная асимметрия,frame001200_portrait.json
frame001224.jpg,passed,,,широкое,высокая симметрия,frame001224_portrait.json
frame002784.jpg,warning,лицо заметно повернуто,,среднее,выраженная асимметрия,frame002784_portrait.json
frame002928.jpg,warning,сильный наклон головы; лицо заметно повернуто; рот заметно открыт; требуется нейтральное выражение,,среднее,выраженная асимметрия,frame002928_portrait.json
frame002952.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame002952_portrait.json
frame003000.jpg,passed,,,широкое,умеренная симметрия,frame003000_portrait.json
frame003024.jpg,passed,,,широкое,выраженная асимметрия,frame003024_portrait.json
frame007896.jpg,passed,,,широкое,умеренная симметрия,frame007896_portrait.json
frame007944.jpg,warning,лицо заметно повернуто,,среднее,выраженная асимметрия,frame007944_portrait.json
frame007968.jpg,passed,,,широкое,выраженная асимметрия,frame007968_portrait.json
frame007992.jpg,passed,,,широкое,выраженная асимметрия,frame007992_portrait.json
frame008712.jpg,passed,,,широкое,умеренная симметрия,frame008712_portrait.json
frame008832.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame008832_portrait.json
frame008952.jpg,passed,,,широкое,выраженная асимметрия,frame008952_portrait.json
frame009000.jpg,passed,,,широкое,умеренная симметрия,frame009000_portrait.json
frame009024.jpg,passed,,,широкое,выраженная асимметрия,frame009024_portrait.json
frame009096.jpg,warning,сильный наклон головы,,широкое,высокая симметрия,frame009096_portrait.json
frame009144.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame009144_portrait.json
frame009168.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame009168_portrait.json
frame009216.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame009216_portrait.json
frame009240.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame009240_portrait.json
frame010080.jpg,passed,,,широкое,выраженная асимметрия,frame010080_portrait.json
frame010200.jpg,passed,,,широкое,выраженная асимметрия,frame010200_portrait.json
